PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
988,274,0,84
994,289,0,84
1003,295,0,84
1003,298,0,84
1006,309,0,84
1006,309,0,84
1000,316,0,84
1000,316,0,84
1000,316,0,84
997,326,0,84
986,344,0,84
986,344,0,84
986,344,0,84
986,344,0,84
981,346,0,84
975,351,0,84
975,356,0,84
975,356,0,84
975,356,0,84
971,375,226,85
974,379,226,86
974,379,226,87
974,379,226,88
976,385,228,89
976,385,228,90
976,390,228,91
976,390,228,92
976,390,228,93
976,390,228,94
976,396,228,95
971,404,223,96
971,404,223,97
971,411,223,98
971,411,223,99
971,429,223,100
971,429,223,101
971,429,223,102
971,429,223,103
969,426,221,104
969,411,221,105
972,381,224,106
972,381,224,107
972,381,224,108
972,376,224,109
967,374,219,110
964,365,0,110
964,365,0,110
964,363,0,110
964,363,0,110
964,363,0,110
964,367,0,110
961,367,0,110
961,367,0,110
961,367,0,110
961,367,0,110
955,349,0,110
955,349,0,110
955,349,0,110
955,346,0,110
955,344,0,110
955,344,0,110
955,342,0,110
955,342,0,110
955,342,0,110
955,342,0,110
955,342,0,110
955,342,0,110
957,340,0,110
957,340,0,110
961,333,0,110
961,333,0,110
961,333,0,110
961,328,0,110
961,328,0,110
961,327,0,110
958,327,0,110
958,327,0,110
958,327,0,110
955,324,0,110
955,324,0,110
955,324,0,110
955,321,0,110
955,318,0,110
955,318,0,110
961,312,0,110
961,312,0,110
961,312,0,110
961,312,0,110
961,312,0,110
961,312,0,110
966,317,0,110
966,317,0,110
966,317,0,110
966,317,0,110
973,322,0,110
983,322,0,110
983,322,0,110
987,322,0,110
991,317,0,110
995,317,0,110
991,313,0,110
991,313,0,110
993,313,0,110
993,313,0,110
998,317,0,110
1008,319,0,110
1010,319,0,110
1019,319,0,110
1019,319,0,110
1019,319,0,110
1031,316,0,110
1031,316,0,110
1031,316,0,110
1031,316,0,110
1031,316,0,110
1036,319,0,110
1043,319,0,110
1043,319,0,110
1043,319,0,110
1043,319,0,110
1043,319,0,110
1043,319,0,110
1028,325,0,110
1028,325,0,110
1024,329,0,110
1024,329,0,110
996,322,0,110
996,322,0,110
996,322,0,110
996,322,0,110
988,322,0,110
988,322,0,110
988,322,0,110
988,322,0,110
988,322,0,110
988,322,0,110
988,322,0,110
988,322,0,110
993,319,0,110
993,319,0,110
998,326,0,110
998,326,0,110
998,326,0,110
998,324,0,110
992,328,0,110
992,328,0,110
992,328,0,110
992,328,0,110
992,328,0,110
988,325,0,110
988,325,0,110
988,325,0,110
988,325,0,110
970,330,0,110
965,330,0,110
965,330,0,110
945,330,0,110
945,330,0,110
929,330,0,110
920,330,0,110
920,330,0,110
906,333,0,110
896,335,0,110
896,335,0,110
896,335,0,110
896,335,0,110
896,335,0,110
891,333,0,110
891,333,0,110
891,336,0,110
899,336,0,110
899,336,0,110
899,336,0,110
899,336,0,110
899,336,0,110
915,336,0,110
915,336,0,110
934,336,0,110
942,332,0,110
942,332,0,110
942,332,0,110
942,332,0,110
942,332,0,110
942,336,0,110
942,336,0,110
942,336,0,110
942,336,0,110
942,333,0,110
942,333,0,110
948,331,0,110
948,331,0,110
948,331,0,110
948,331,0,110
948,331,0,110
948,331,0,110
954,331,0,110
959,331,0,110
963,331,0,110
963,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
964,331,0,110
967,326,0,110
967,318,0,110
963,305,0,110
963,305,0,110
963,300,0,110
963,300,0,110
960,297,0,110
960,294,0,110
960,294,0,110
960,294,0,110
960,291,0,110
960,291,0,110
963,291,0,110
963,291,0,110
963,291,0,110
963,291,0,110
963,291,0,110
963,291,0,110
966,288,0,110
966,288,0,110
966,288,0,110
966,283,0,110
966,283,0,110
966,283,0,110
966,283,0,110
966,283,0,110
966,283,0,110
960,281,0,110
960,281,0,110
960,281,0,110
960,281,0,110
960,281,0,110
960,281,0,110
963,277,0,110
963,277,0,110
963,277,0,110
963,277,0,110
967,273,0,110
964,269,0,110
964,269,0,110
964,269,0,110
964,269,0,110
964,269,0,110
964,269,0,110
964,269,0,110
964,263,0,110
964,263,0,110
967,263,0,110
967,260,0,110
967,260,0,110
967,260,0,110
970,262,0,110
973,264,0,110
973,264,0,110
973,264,0,110
973,264,0,110
973,264,0,110
973,264,0,110
973,268,0,110
973,268,0,110
973,268,0,110
973,270,0,110
973,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,270,0,110
970,277,0,110
970,277,0,110
970,272,0,110
973,272,0,110
973,272,0,110
978,272,0,110
983,272,0,110
1004,275,0,110
1011,275,0,110
1028,267,0,110
1028,267,0,110
1056,264,4,111
1112,260,60,112
1112,260,60,113
1112,260,60,114
1112,260,60,115
1112,260,60,116
1112,260,60,117
1112,260,60,118
1112,260,60,119
1112,260,60,120
1112,260,60,121
1112,260,60,122
1112,260,60,123
1112,260,60,124
1112,260,60,125
1112,260,60,126
