PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
625 , 495 , 0 , 0
625 , 495 , 0 , 0
625 , 495 , 0 , 0
618 , 495 , 0 , 0
605 , 495 , 0 , 0
601 , 495 , 0 , 0
601 , 495 , 0 , 0
593 , 495 , 0 , 0
593 , 495 , 0 , 0
591 , 492 , 0 , 0
584 , 488 , 0 , 0
584 , 488 , 0 , 0
584 , 488 , 0 , 0
584 , 488 , 0 , 0
584 , 488 , 0 , 0
580 , 488 , 0 , 0
569 , 486 , 0 , 0
569 , 486 , 0 , 0
565 , 486 , 4 , 1
558 , 482 , 11 , 2
558 , 482 , 11 , 3
558 , 482 , 11 , 4
558 , 482 , 11 , 5
554 , 482 , 15 , 6
554 , 482 , 15 , 7
554 , 482 , 15 , 8
554 , 482 , 15 , 9
554 , 482 , 15 , 10
554 , 482 , 15 , 11
554 , 482 , 15 , 12
554 , 491 , 15 , 13
556 , 493 , 13 , 14
556 , 493 , 13 , 15
556 , 493 , 13 , 16
560 , 499 , 9 , 17
560 , 499 , 9 , 18
560 , 507 , 9 , 19
560 , 507 , 9 , 20
564 , 519 , 5 , 21
564 , 519 , 5 , 22
564 , 519 , 5 , 23
569 , 529 , 0 , 23
572 , 542 , 0 , 23
572 , 542 , 0 , 23
572 , 545 , 0 , 23
590 , 570 , 0 , 23
590 , 570 , 0 , 23
590 , 570 , 0 , 23
590 , 570 , 0 , 23
593 , 575 , 0 , 23
597 , 581 , 0 , 23
597 , 581 , 0 , 23
597 , 581 , 0 , 23
597 , 581 , 0 , 23
597 , 581 , 0 , 23
597 , 581 , 0 , 23
597 , 581 , 0 , 23
602 , 581 , 0 , 23
602 , 581 , 0 , 23
602 , 581 , 0 , 23
605 , 584 , 0 , 23
605 , 584 , 0 , 23
605 , 584 , 0 , 23
605 , 584 , 0 , 23
610 , 590 , 0 , 23
610 , 590 , 0 , 23
613 , 598 , 0 , 23
613 , 598 , 0 , 23
613 , 598 , 0 , 23
616 , 598 , 0 , 23
616 , 598 , 0 , 23
619 , 605 , 0 , 23
619 , 605 , 0 , 23
619 , 609 , 0 , 23
622 , 611 , 0 , 23
622 , 611 , 0 , 23
622 , 611 , 0 , 23
622 , 611 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
628 , 613 , 0 , 23
628 , 613 , 0 , 23
628 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
625 , 613 , 0 , 23
622 , 613 , 0 , 23
622 , 613 , 0 , 23
622 , 613 , 0 , 23
622 , 613 , 0 , 23
622 , 613 , 0 , 23
622 , 613 , 0 , 23
622 , 613 , 0 , 23
620 , 613 , 0 , 23
620 , 613 , 0 , 23
620 , 613 , 0 , 23
620 , 613 , 0 , 23
620 , 613 , 0 , 23
620 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 613 , 0 , 23
617 , 611 , 0 , 23
614 , 611 , 0 , 23
614 , 611 , 0 , 23
611 , 611 , 0 , 23
611 , 611 , 0 , 23
596 , 611 , 0 , 23
596 , 611 , 0 , 23
596 , 611 , 0 , 23
599 , 611 , 0 , 23
599 , 611 , 0 , 23
599 , 611 , 0 , 23
602 , 608 , 0 , 23
602 , 608 , 0 , 23
602 , 608 , 0 , 23
602 , 608 , 0 , 23
602 , 608 , 0 , 23
598 , 605 , 0 , 23
598 , 597 , 0 , 23
598 , 597 , 0 , 23
598 , 597 , 0 , 23
598 , 590 , 0 , 23
598 , 590 , 0 , 23
594 , 584 , 0 , 23
594 , 584 , 0 , 23
594 , 584 , 0 , 23
594 , 584 , 0 , 23
594 , 584 , 0 , 23
594 , 576 , 0 , 23
594 , 576 , 0 , 23
591 , 568 , 0 , 23
588 , 568 , 0 , 23
588 , 568 , 0 , 23
588 , 568 , 0 , 23
588 , 564 , 0 , 23
586 , 562 , 0 , 23
586 , 560 , 0 , 23
586 , 557 , 0 , 23
586 , 557 , 0 , 23
586 , 557 , 0 , 23
586 , 544 , 0 , 23
586 , 544 , 0 , 23
586 , 544 , 0 , 23
586 , 544 , 0 , 23
583 , 538 , 0 , 23
580 , 538 , 0 , 23
580 , 532 , 0 , 23
580 , 532 , 0 , 23
580 , 532 , 0 , 23
580 , 532 , 0 , 23
580 , 532 , 0 , 23
577 , 527 , 0 , 23
577 , 527 , 0 , 23
574 , 520 , 0 , 23
578 , 520 , 0 , 23
578 , 520 , 0 , 23
578 , 515 , 0 , 23
578 , 515 , 0 , 23
578 , 515 , 0 , 23
578 , 515 , 0 , 23
578 , 513 , 0 , 23
578 , 513 , 0 , 23
581 , 505 , 0 , 23
581 , 505 , 0 , 23
581 , 505 , 0 , 23
581 , 505 , 0 , 23
581 , 505 , 0 , 23
581 , 505 , 0 , 23
581 , 500 , 0 , 23
581 , 497 , 0 , 23
581 , 497 , 0 , 23
576 , 497 , 0 , 23
576 , 497 , 0 , 23
576 , 497 , 0 , 23
576 , 497 , 0 , 23
576 , 490 , 0 , 23
573 , 484 , 0 , 23
573 , 484 , 0 , 23
573 , 484 , 0 , 23
570 , 482 , 0 , 23
570 , 482 , 0 , 23
570 , 478 , 0 , 23
570 , 478 , 0 , 23
570 , 478 , 0 , 23
570 , 478 , 0 , 23
