PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
753 , 260 , 0 , 49
755 , 262 , 0 , 49
759 , 263 , 0 , 49
759 , 263 , 0 , 49
763 , 265 , 0 , 49
766 , 267 , 0 , 49
766 , 267 , 0 , 49
781 , 227 , 0 , 49
781 , 227 , 0 , 49
781 , 227 , 0 , 49
781 , 227 , 0 , 49
781 , 227 , 0 , 49
781 , 227 , 0 , 49
781 , 227 , 0 , 49
781 , 227 , 0 , 49
785 , 225 , 0 , 49
788 , 227 , 0 , 49
794 , 227 , 0 , 49
803 , 228 , 0 , 49
816 , 232 , 0 , 49
818 , 233 , 0 , 49
829 , 243 , 0 , 49
836 , 247 , 0 , 49
836 , 247 , 0 , 49
836 , 245 , 0 , 49
836 , 238 , 0 , 49
836 , 222 , 0 , 49
827 , 197 , 1 , 50
820 , 190 , 8 , 51
812 , 182 , 16 , 52
801 , 175 , 23 , 53
790 , 168 , 30 , 54
766 , 157 , 41 , 55
766 , 158 , 40 , 56
779 , 158 , 40 , 57
801 , 158 , 40 , 58
820 , 158 , 40 , 59
842 , 160 , 38 , 60
862 , 162 , 36 , 61
873 , 162 , 36 , 62
873 , 162 , 36 , 63
873 , 162 , 36 , 64
873 , 162 , 36 , 65
873 , 162 , 36 , 66
873 , 162 , 36 , 67
873 , 162 , 36 , 68
873 , 162 , 36 , 69
873 , 162 , 36 , 70
873 , 162 , 36 , 71
873 , 162 , 36 , 72
873 , 162 , 36 , 73
873 , 162 , 36 , 74
873 , 162 , 36 , 75
873 , 162 , 36 , 76
873 , 162 , 36 , 77
873 , 162 , 36 , 78
873 , 162 , 36 , 79
873 , 162 , 36 , 80
873 , 162 , 36 , 81
873 , 162 , 36 , 82
873 , 162 , 36 , 83
873 , 162 , 36 , 84
873 , 162 , 36 , 85
873 , 162 , 36 , 86
873 , 162 , 36 , 87
873 , 162 , 36 , 88
873 , 162 , 36 , 89
873 , 162 , 36 , 90
906 , 208 , 0 , 90
906 , 208 , 0 , 90
906 , 208 , 0 , 90
906 , 208 , 0 , 90
906 , 208 , 0 , 90
