PositionX , PositionY , Line/corridor_following_distance_error , Number_of_slip_offs
599 , 333 , 0 , 0
599 , 333 , 0 , 0
592 , 325 , 0 , 0
592 , 314 , 0 , 0
592 , 310 , 0 , 0
592 , 305 , 0 , 0
592 , 305 , 0 , 0
592 , 305 , 0 , 0
592 , 295 , 0 , 0
592 , 295 , 0 , 0
592 , 287 , 0 , 0
592 , 280 , 0 , 0
592 , 277 , 0 , 0
592 , 277 , 0 , 0
592 , 275 , 0 , 0
592 , 275 , 0 , 0
592 , 275 , 0 , 0
597 , 275 , 0 , 0
602 , 275 , 0 , 0
606 , 277 , 0 , 0
606 , 277 , 0 , 0
612 , 282 , 0 , 0
612 , 282 , 0 , 0
617 , 282 , 0 , 0
623 , 282 , 0 , 0
623 , 282 , 0 , 0
630 , 274 , 0 , 0
630 , 270 , 0 , 0
633 , 265 , 0 , 0
633 , 257 , 0 , 0
633 , 257 , 0 , 0
636 , 249 , 0 , 0
636 , 247 , 0 , 0
636 , 236 , 0 , 0
636 , 236 , 0 , 0
636 , 236 , 0 , 0
636 , 221 , 0 , 0
636 , 221 , 0 , 0
636 , 209 , 0 , 0
636 , 209 , 0 , 0
642 , 203 , 0 , 0
642 , 203 , 0 , 0
642 , 203 , 0 , 0
652 , 210 , 0 , 0
652 , 210 , 0 , 0
655 , 208 , 0 , 0
655 , 208 , 0 , 0
655 , 208 , 0 , 0
657 , 192 , 11 , 1
657 , 192 , 11 , 2
660 , 184 , 19 , 3
663 , 184 , 19 , 4
663 , 184 , 19 , 5
663 , 184 , 19 , 6
663 , 184 , 19 , 7
666 , 184 , 19 , 8
666 , 182 , 21 , 9
666 , 182 , 21 , 10
666 , 182 , 21 , 11
666 , 182 , 21 , 12
666 , 182 , 21 , 13
666 , 188 , 15 , 14
666 , 188 , 15 , 15
662 , 209 , 0 , 15
662 , 209 , 0 , 15
662 , 212 , 0 , 15
662 , 212 , 0 , 15
662 , 214 , 0 , 15
665 , 218 , 0 , 15
669 , 220 , 0 , 15
669 , 224 , 0 , 15
669 , 231 , 0 , 15
669 , 231 , 0 , 15
675 , 244 , 0 , 15
675 , 244 , 0 , 15
675 , 244 , 0 , 15
678 , 247 , 0 , 15
678 , 247 , 0 , 15
678 , 247 , 0 , 15
678 , 247 , 0 , 15
678 , 247 , 0 , 15
678 , 247 , 0 , 15
678 , 247 , 0 , 15
678 , 247 , 0 , 15
678 , 252 , 0 , 15
678 , 252 , 0 , 15
678 , 252 , 0 , 15
682 , 252 , 0 , 15
685 , 252 , 0 , 15
685 , 250 , 0 , 15
685 , 250 , 0 , 15
685 , 250 , 0 , 15
685 , 248 , 0 , 15
687 , 245 , 0 , 15
690 , 245 , 0 , 15
693 , 241 , 0 , 15
693 , 236 , 0 , 15
693 , 236 , 0 , 15
696 , 234 , 0 , 15
696 , 232 , 0 , 15
696 , 232 , 0 , 15
696 , 232 , 0 , 15
699 , 230 , 0 , 15
703 , 227 , 0 , 15
703 , 227 , 0 , 15
703 , 225 , 0 , 15
706 , 222 , 0 , 15
706 , 222 , 0 , 15
706 , 219 , 0 , 15
706 , 219 , 0 , 15
706 , 219 , 0 , 15
709 , 219 , 0 , 15
709 , 217 , 0 , 15
709 , 217 , 0 , 15
714 , 212 , 0 , 15
714 , 212 , 0 , 15
714 , 209 , 0 , 15
718 , 207 , 0 , 15
720 , 203 , 0 , 15
720 , 203 , 0 , 15
723 , 203 , 0 , 15
723 , 203 , 0 , 15
723 , 195 , 8 , 16
726 , 185 , 18 , 17
726 , 185 , 18 , 18
726 , 185 , 18 , 19
728 , 170 , 33 , 20
728 , 170 , 33 , 21
728 , 170 , 33 , 22
728 , 170 , 33 , 23
728 , 170 , 33 , 24
728 , 155 , 48 , 25
728 , 155 , 48 , 26
728 , 155 , 48 , 27
728 , 159 , 44 , 28
725 , 163 , 40 , 29
725 , 163 , 40 , 30
725 , 163 , 40 , 31
725 , 161 , 42 , 32
725 , 161 , 42 , 33
725 , 161 , 42 , 34
728 , 161 , 42 , 35
728 , 161 , 42 , 36
728 , 161 , 42 , 37
731 , 166 , 37 , 38
731 , 166 , 37 , 39
731 , 166 , 37 , 40
731 , 178 , 25 , 41
731 , 178 , 25 , 42
731 , 197 , 6 , 43
731 , 197 , 6 , 44
731 , 206 , 0 , 44
731 , 206 , 0 , 44
731 , 206 , 0 , 44
735 , 215 , 0 , 44
735 , 215 , 0 , 44
738 , 227 , 0 , 44
738 , 227 , 0 , 44
738 , 227 , 0 , 44
741 , 236 , 0 , 44
741 , 236 , 0 , 44
741 , 241 , 0 , 44
741 , 241 , 0 , 44
741 , 241 , 0 , 44
741 , 241 , 0 , 44
741 , 245 , 0 , 44
741 , 246 , 0 , 44
743 , 246 , 0 , 44
743 , 246 , 0 , 44
743 , 248 , 0 , 44
743 , 248 , 0 , 44
743 , 248 , 0 , 44
743 , 248 , 0 , 44
743 , 250 , 0 , 44
